reading file: /home/ubuntu/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Marching Cubes
DaxNoResolution,Accelerator,Time,Trial
Dax,Serial,1.15473,0
Dax,Serial,1.15345,1
Dax,Serial,1.1532,2
Dax,Serial,1.15327,3
Dax,Serial,1.15501,4
Dax,Serial,1.15568,5
Dax,Serial,1.15623,6
Dax,Serial,1.15459,7
Dax,Serial,1.15269,8
Dax,Serial,1.1533,9
Dax,Serial,1.15559,10
Dax,Serial,1.15644,11
Dax,Serial,1.15594,12
Dax,Serial,1.15578,13
Dax,Serial,1.15497,14
Dax,Serial,1.15579,15
Dax,Serial,1.15626,16
Dax,Serial,1.15545,17
Dax,Serial,1.15278,18
Dax,Serial,1.15252,19
DaxResolution,Accelerator,Time,Trial
Dax,Serial,2.05,0
Dax,Serial,2.05403,1
Dax,Serial,2.05161,2
Dax,Serial,2.05765,3
Dax,Serial,2.04999,4
Dax,Serial,2.05399,5
Dax,Serial,2.05302,6
Dax,Serial,2.05527,7
Dax,Serial,2.04945,8
Dax,Serial,2.06119,9
Dax,Serial,2.04899,10
Dax,Serial,2.05449,11
Dax,Serial,2.04835,12
Dax,Serial,2.0527,13
Dax,Serial,2.05098,14
Dax,Serial,2.0578,15
Dax,Serial,2.04793,16
Dax,Serial,2.05582,17
Dax,Serial,2.04814,18
Dax,Serial,2.0531,19
Piston,Accelerator,Time,Trial
VTK,Serial,0.534452,0
VTK,Serial,0.531985,1
VTK,Serial,0.53246,2
VTK,Serial,0.532047,3
VTK,Serial,0.531878,4
VTK,Serial,0.532395,5
VTK,Serial,0.53213,6
VTK,Serial,0.531084,7
VTK,Serial,0.531651,8
VTK,Serial,0.532421,9
VTK,Serial,0.5322,10
VTK,Serial,0.532441,11
VTK,Serial,0.531803,12
VTK,Serial,0.532174,13
VTK,Serial,0.531126,14
VTK,Serial,0.530773,15
VTK,Serial,0.532153,16
VTK,Serial,0.531571,17
VTK,Serial,0.531075,18
VTK,Serial,0.530882,19
