reading file: /home/ubuntu/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Threshold
DaxNoResolution,Accelerator,Time,Trial
Dax,Serial,2.62121,0
Dax,Serial,2.62022,1
Dax,Serial,2.62429,2
Dax,Serial,2.62075,3
Dax,Serial,2.62283,4
Dax,Serial,2.62511,5
Dax,Serial,2.62342,6
Dax,Serial,2.6239,7
Dax,Serial,2.623,8
Dax,Serial,2.62227,9
Dax,Serial,2.61878,10
Dax,Serial,2.62406,11
Dax,Serial,2.62138,12
Dax,Serial,2.62227,13
Dax,Serial,2.61911,14
Dax,Serial,2.62043,15
Dax,Serial,2.6248,16
Dax,Serial,2.61982,17
Dax,Serial,2.62219,18
Dax,Serial,2.62015,19
DaxResolution,Accelerator,Time,Trial
Dax,Serial,8.36533,0
Dax,Serial,8.3642,1
Dax,Serial,8.37121,2
Dax,Serial,8.3674,3
Dax,Serial,8.36464,4
Dax,Serial,8.36373,5
Dax,Serial,8.36609,6
Dax,Serial,8.36822,7
Dax,Serial,8.36406,8
Dax,Serial,8.36621,9
Dax,Serial,8.36822,10
Dax,Serial,8.36749,11
Dax,Serial,8.35991,12
Dax,Serial,8.36859,13
Dax,Serial,8.36428,14
Dax,Serial,8.36584,15
Dax,Serial,8.38588,16
Dax,Serial,8.36713,17
Dax,Serial,8.36732,18
Dax,Serial,8.35903,19
Piston,Accelerator,Time,Trial
VTK,Accelerator,Time,Trial
VTK,Serial,13.8118,0
VTK,Serial,13.7935,1
VTK,Serial,13.7992,2
VTK,Serial,13.7824,3
VTK,Serial,13.7784,4
VTK,Serial,13.7824,5
VTK,Serial,13.7851,6
VTK,Serial,13.7979,7
VTK,Serial,13.7934,8
VTK,Serial,13.8049,9
VTK,Serial,13.7959,10
VTK,Serial,13.7971,11
VTK,Serial,13.7895,12
VTK,Serial,13.7882,13
VTK,Serial,13.7852,14
VTK,Serial,13.7829,15
VTK,Serial,13.7808,16
VTK,Serial,13.7917,17
VTK,Serial,13.7928,18
VTK,Serial,13.7818,19
