reading file: /home/ubuntu/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Marching Cubes
DaxNoResolution,Accelerator,Time,Trial
Dax,TBB,0.0626892,0
Dax,TBB,0.0629071,1
Dax,TBB,0.0669505,2
Dax,TBB,0.0629152,3
Dax,TBB,0.0626246,4
Dax,TBB,0.0632044,5
Dax,TBB,0.0627582,6
Dax,TBB,0.0623944,7
Dax,TBB,0.0632543,8
Dax,TBB,0.0630439,9
Dax,TBB,0.0625707,10
Dax,TBB,0.0622989,11
Dax,TBB,0.066919,12
Dax,TBB,0.0716202,13
Dax,TBB,0.0624893,14
Dax,TBB,0.0631067,15
Dax,TBB,0.0625421,16
Dax,TBB,0.0628593,17
Dax,TBB,0.0629496,18
Dax,TBB,0.0621832,19
DaxResolution,Accelerator,Time,Trial
Dax,TBB,0.116788,0
Dax,TBB,0.117144,1
Dax,TBB,0.116553,2
Dax,TBB,0.117307,3
Dax,TBB,0.119105,4
Dax,TBB,0.118464,5
Dax,TBB,0.117058,6
Dax,TBB,0.117093,7
Dax,TBB,0.117816,8
Dax,TBB,0.117494,9
Dax,TBB,0.117466,10
Dax,TBB,0.122719,11
Dax,TBB,0.145225,12
Dax,TBB,0.120695,13
Dax,TBB,0.120503,14
Dax,TBB,0.118226,15
Dax,TBB,0.123729,16
Dax,TBB,0.124298,17
Dax,TBB,0.12143,18
Dax,TBB,0.125375,19
Piston,Accelerator,Time,Trial
Piston,TBB,0.11368,0
Piston,TBB,0.11194,1
Piston,TBB,0.112703,2
Piston,TBB,0.112746,3
Piston,TBB,0.114321,4
Piston,TBB,0.112646,5
Piston,TBB,0.112768,6
Piston,TBB,0.113569,7
Piston,TBB,0.113796,8
Piston,TBB,0.112557,9
Piston,TBB,0.113042,10
Piston,TBB,0.113065,11
Piston,TBB,0.112453,12
Piston,TBB,0.113561,13
Piston,TBB,0.112392,14
Piston,TBB,0.111619,15
Piston,TBB,0.112503,16
Piston,TBB,0.112071,17
Piston,TBB,0.112077,18
Piston,TBB,0.11225,19
