reading file: /home/ubuntu/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Threshold
DaxNoResolution,Accelerator,Time,Trial
Dax,TBB,0.0328621,0
Dax,TBB,0.0321213,1
Dax,TBB,0.0319991,2
Dax,TBB,0.0316641,3
Dax,TBB,0.0327384,4
Dax,TBB,0.0322122,5
Dax,TBB,0.0323902,6
Dax,TBB,0.0325015,7
Dax,TBB,0.0351382,8
Dax,TBB,0.0441054,9
Dax,TBB,0.0539132,10
Dax,TBB,0.0414323,11
Dax,TBB,0.041854,12
Dax,TBB,0.0340046,13
Dax,TBB,0.0379146,14
Dax,TBB,0.0328736,15
Dax,TBB,0.0331138,16
Dax,TBB,0.0320604,17
Dax,TBB,0.0322463,18
Dax,TBB,0.0323561,19
DaxResolution,Accelerator,Time,Trial
Dax,TBB,0.101909,0
Dax,TBB,0.102839,1
Dax,TBB,0.103202,2
Dax,TBB,0.103326,3
Dax,TBB,0.102798,4
Dax,TBB,0.102708,5
Dax,TBB,0.102367,6
Dax,TBB,0.102298,7
Dax,TBB,0.102387,8
Dax,TBB,0.103221,9
Dax,TBB,0.10296,10
Dax,TBB,0.101737,11
Dax,TBB,0.103552,12
Dax,TBB,0.102824,13
Dax,TBB,0.102553,14
Dax,TBB,0.10258,15
Dax,TBB,0.101341,16
Dax,TBB,0.102843,17
Dax,TBB,0.103156,18
Dax,TBB,0.103026,19
Piston,Accelerator,Time,Trial
Piston,TBB,0.0835418,0
Piston,TBB,0.0819468,1
Piston,TBB,0.0818576,2
Piston,TBB,0.0818354,3
Piston,TBB,0.0817235,4
Piston,TBB,0.0817974,5
Piston,TBB,0.082592,6
Piston,TBB,0.0824133,7
Piston,TBB,0.0818896,8
Piston,TBB,0.08146,9
Piston,TBB,0.0820341,10
Piston,TBB,0.0811817,11
Piston,TBB,0.0820059,12
Piston,TBB,0.0819365,13
Piston,TBB,0.0818183,14
Piston,TBB,0.0822018,15
Piston,TBB,0.0818983,16
Piston,TBB,0.0818089,17
Piston,TBB,0.0815144,18
Piston,TBB,0.0819217,19
