reading file: /home/ec2-user/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Marching Cubes
DaxNoResolution,Accelerator,Time,Trial
Dax,Cuda,0.0743519,0
Dax,Cuda,0.0758916,1
Dax,Cuda,0.0743131,2
Dax,Cuda,0.0743761,3
Dax,Cuda,0.0739008,4
Dax,Cuda,0.0742014,5
Dax,Cuda,0.0743252,6
Dax,Cuda,0.0744196,7
Dax,Cuda,0.0749846,8
Dax,Cuda,0.0744086,9
Dax,Cuda,0.0745131,10
Dax,Cuda,0.0743223,11
Dax,Cuda,0.0739181,12
Dax,Cuda,0.0741046,13
Dax,Cuda,0.0754144,14
Dax,Cuda,0.0740709,15
Dax,Cuda,0.0745851,16
Dax,Cuda,0.0743525,17
Dax,Cuda,0.0743015,18
Dax,Cuda,0.0744401,19
DaxResolution,Accelerator,Time,Trial
Dax,Cuda,0.360468,0
Dax,Cuda,0.36312,1
Dax,Cuda,0.36196,2
Dax,Cuda,0.361325,3
Dax,Cuda,0.361579,4
Dax,Cuda,0.360373,5
Dax,Cuda,0.36108,6
Dax,Cuda,0.361082,7
Dax,Cuda,0.361224,8
Dax,Cuda,0.358306,9
Dax,Cuda,0.360293,10
Dax,Cuda,0.359843,11
Dax,Cuda,0.361047,12
Dax,Cuda,0.361418,13
Dax,Cuda,0.363957,14
Dax,Cuda,0.360183,15
Dax,Cuda,0.360123,16
Dax,Cuda,0.361717,17
Dax,Cuda,0.360279,18
Dax,Cuda,0.361643,19
Piston,Accelerator,Time,Trial
Piston,Cuda,0.0811388,0
Piston,Cuda,0.081113,1
Piston,Cuda,0.0810149,2
Piston,Cuda,0.0824686,3
Piston,Cuda,0.0809989,4
Piston,Cuda,0.0811058,5
Piston,Cuda,0.0814745,6
Piston,Cuda,0.0807616,7
Piston,Cuda,0.0809154,8
Piston,Cuda,0.0809071,9
Piston,Cuda,0.0808492,10
Piston,Cuda,0.0809134,11
Piston,Cuda,0.081032,12
Piston,Cuda,0.0806634,13
Piston,Cuda,0.080796,14
Piston,Cuda,0.0809225,15
Piston,Cuda,0.0811211,16
Piston,Cuda,0.0808338,17
Piston,Cuda,0.080947,18
Piston,Cuda,0.0810784,19
