reading file: /home/ec2-user/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Threshold
DaxNoResolution,Accelerator,Time,Trial
Dax,Cuda,0.0448446,0
Dax,Cuda,0.0443531,1
Dax,Cuda,0.0437643,2
Dax,Cuda,0.0437317,3
Dax,Cuda,0.0438039,4
Dax,Cuda,0.0437403,5
Dax,Cuda,0.043701,6
Dax,Cuda,0.0436911,7
Dax,Cuda,0.0437661,8
Dax,Cuda,0.0437441,9
Dax,Cuda,0.0439246,10
Dax,Cuda,0.0442067,11
Dax,Cuda,0.0439703,12
Dax,Cuda,0.0436941,13
Dax,Cuda,0.0437536,14
Dax,Cuda,0.0437959,15
Dax,Cuda,0.0437857,16
Dax,Cuda,0.0438455,17
Dax,Cuda,0.043866,18
Dax,Cuda,0.0438716,19
DaxResolution,Accelerator,Time,Trial
Dax,Cuda,0.0892185,0
Dax,Cuda,0.0894731,1
Dax,Cuda,0.0894004,2
Dax,Cuda,0.0891939,3
Dax,Cuda,0.0890932,4
Dax,Cuda,0.0891475,5
Dax,Cuda,0.0894337,6
Dax,Cuda,0.0893683,7
Dax,Cuda,0.0890298,8
Dax,Cuda,0.0890243,9
Dax,Cuda,0.0894928,10
Dax,Cuda,0.0890948,11
Dax,Cuda,0.0889943,12
Dax,Cuda,0.0888898,13
Dax,Cuda,0.0890974,14
Dax,Cuda,0.0893673,15
Dax,Cuda,0.0892279,16
Dax,Cuda,0.08961,17
Dax,Cuda,0.089284,18
Dax,Cuda,0.0890944,19
Piston,Accelerator,Time,Trial
Piston,Cuda,0.0373461,0
Piston,Cuda,0.0371784,1
Piston,Cuda,0.0372642,2
Piston,Cuda,0.0369919,3
Piston,Cuda,0.0373128,4
Piston,Cuda,0.0370314,5
Piston,Cuda,0.0369952,6
Piston,Cuda,0.0369884,7
Piston,Cuda,0.0374554,8
Piston,Cuda,0.037903,9
Piston,Cuda,0.0369918,10
Piston,Cuda,0.0369629,11
Piston,Cuda,0.0369174,12
Piston,Cuda,0.0370165,13
Piston,Cuda,0.037225,14
Piston,Cuda,0.037187,15
Piston,Cuda,0.0370355,16
Piston,Cuda,0.0370851,17
Piston,Cuda,0.0373253,18
Piston,Cuda,0.0372541,19
