reading file: /home/ec2-user/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Marching Cubes
DaxNoResolution,Accelerator,Time,Trial
Dax,Serial,0.641528,0
Dax,Serial,0.639201,1
Dax,Serial,0.640557,2
Dax,Serial,0.641083,3
Dax,Serial,0.641003,4
Dax,Serial,0.687136,5
Dax,Serial,0.64663,6
Dax,Serial,0.78597,7
Dax,Serial,0.637747,8
Dax,Serial,0.63801,9
Dax,Serial,0.662705,10
Dax,Serial,0.658349,11
Dax,Serial,0.649645,12
Dax,Serial,0.641343,13
Dax,Serial,0.640374,14
Dax,Serial,0.642675,15
Dax,Serial,0.643029,16
Dax,Serial,0.641535,17
Dax,Serial,0.640948,18
Dax,Serial,0.642442,19
DaxResolution,Accelerator,Time,Trial
Dax,Serial,3.53516,0
Dax,Serial,3.65709,1
Dax,Serial,3.92143,2
Dax,Serial,3.56604,3
Dax,Serial,3.54966,4
Dax,Serial,3.67346,5
Dax,Serial,3.52212,6
Dax,Serial,3.60279,7
Dax,Serial,3.53243,8
Dax,Serial,3.53774,9
Dax,Serial,3.52131,10
Dax,Serial,3.52258,11
Dax,Serial,3.52489,12
Dax,Serial,3.5228,13
Dax,Serial,3.65,14
Dax,Serial,3.53314,15
Dax,Serial,3.60644,16
Dax,Serial,3.52353,17
Dax,Serial,3.52185,18
Dax,Serial,3.5272,19
Piston,Accelerator,Time,Trial
VTK,Serial,0.565003,0
VTK,Serial,0.590671,1
VTK,Serial,0.56109,2
VTK,Serial,0.560104,3
VTK,Serial,0.560048,4
VTK,Serial,0.561826,5
VTK,Serial,0.562767,6
VTK,Serial,0.559962,7
VTK,Serial,0.560032,8
VTK,Serial,0.561137,9
VTK,Serial,0.561277,10
VTK,Serial,0.560619,11
VTK,Serial,0.561808,12
VTK,Serial,0.560919,13
VTK,Serial,0.561065,14
VTK,Serial,0.712794,15
VTK,Serial,0.561077,16
VTK,Serial,0.56543,17
VTK,Serial,0.568114,18
VTK,Serial,0.566864,19
