reading file: /home/ec2-user/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Threshold
DaxNoResolution,Accelerator,Time,Trial
Dax,Serial,0.266082,0
Dax,Serial,0.267315,1
Dax,Serial,0.266207,2
Dax,Serial,0.266279,3
Dax,Serial,0.26628,4
Dax,Serial,0.272369,5
Dax,Serial,0.266774,6
Dax,Serial,0.272975,7
Dax,Serial,0.269083,8
Dax,Serial,0.274685,9
Dax,Serial,0.269287,10
Dax,Serial,0.266322,11
Dax,Serial,0.266371,12
Dax,Serial,0.266254,13
Dax,Serial,0.266362,14
Dax,Serial,0.266212,15
Dax,Serial,0.266267,16
Dax,Serial,0.266329,17
Dax,Serial,0.266283,18
Dax,Serial,0.266262,19
DaxResolution,Accelerator,Time,Trial
Dax,Serial,1.15869,0
Dax,Serial,1.16857,1
Dax,Serial,1.16653,2
Dax,Serial,1.16397,3
Dax,Serial,1.46897,4
Dax,Serial,1.16344,5
Dax,Serial,1.15993,6
Dax,Serial,1.16607,7
Dax,Serial,1.16837,8
Dax,Serial,1.16108,9
Dax,Serial,1.16433,10
Dax,Serial,1.17117,11
Dax,Serial,1.16942,12
Dax,Serial,1.16938,13
Dax,Serial,1.16339,14
Dax,Serial,1.16883,15
Dax,Serial,1.16372,16
Dax,Serial,1.17311,17
Dax,Serial,1.1701,18
Dax,Serial,1.16949,19
Piston,Accelerator,Time,Trial
VTK,Accelerator,Time,Trial
VTK,Serial,3.04245,0
VTK,Serial,3.04373,1
VTK,Serial,3.06704,2
VTK,Serial,3.04453,3
VTK,Serial,3.03763,4
VTK,Serial,3.03603,5
VTK,Serial,3.05183,6
VTK,Serial,3.03375,7
VTK,Serial,3.0293,8
VTK,Serial,3.03234,9
VTK,Serial,3.02344,10
VTK,Serial,3.02481,11
VTK,Serial,3.03449,12
VTK,Serial,3.0184,13
VTK,Serial,3.02958,14
VTK,Serial,3.02783,15
VTK,Serial,2.9998,16
VTK,Serial,3.00176,17
VTK,Serial,3.00706,18
VTK,Serial,3.02429,19
