reading file: /home/ec2-user/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Marching Cubes
DaxNoResolution,Accelerator,Time,Trial
Dax,TBB,0.460311,0
Dax,TBB,0.511091,1
Dax,TBB,0.368185,2
Dax,TBB,0.378581,3
Dax,TBB,0.36785,4
Dax,TBB,0.375566,5
Dax,TBB,0.363872,6
Dax,TBB,0.357323,7
Dax,TBB,0.382005,8
Dax,TBB,0.372277,9
Dax,TBB,0.3677,10
Dax,TBB,0.371018,11
Dax,TBB,0.366483,12
Dax,TBB,0.365172,13
Dax,TBB,0.374026,14
Dax,TBB,0.365214,15
Dax,TBB,0.368346,16
Dax,TBB,0.380649,17
Dax,TBB,0.367151,18
Dax,TBB,0.364913,19
DaxResolution,Accelerator,Time,Trial
Dax,TBB,0.710832,0
Dax,TBB,0.729386,1
Dax,TBB,0.698826,2
Dax,TBB,0.703251,3
Dax,TBB,0.713275,4
Dax,TBB,0.724305,5
Dax,TBB,0.722818,6
Dax,TBB,0.715564,7
Dax,TBB,0.702452,8
Dax,TBB,0.716428,9
Dax,TBB,0.721745,10
Dax,TBB,0.711764,11
Dax,TBB,0.710386,12
Dax,TBB,0.703611,13
Dax,TBB,0.737745,14
Dax,TBB,0.753982,15
Dax,TBB,0.73749,16
Dax,TBB,0.918723,17
Dax,TBB,0.711604,18
Dax,TBB,0.709649,19
Piston,Accelerator,Time,Trial
Piston,TBB,0.640416,0
Piston,TBB,0.625368,1
Piston,TBB,0.630588,2
Piston,TBB,0.632217,3
Piston,TBB,0.629881,4
Piston,TBB,0.636885,5
Piston,TBB,0.632831,6
Piston,TBB,0.640857,7
Piston,TBB,0.642641,8
Piston,TBB,0.634093,9
Piston,TBB,0.64621,10
Piston,TBB,0.642462,11
Piston,TBB,0.672197,12
Piston,TBB,0.638505,13
Piston,TBB,0.635133,14
Piston,TBB,0.630049,15
Piston,TBB,0.654229,16
Piston,TBB,0.625088,17
Piston,TBB,0.64786,18
Piston,TBB,0.634194,19
