reading file: /home/ec2-user/Data/normal_1349.nhdr
Warming up the machine
Benchmarking Threshold
DaxNoResolution,Accelerator,Time,Trial
Dax,TBB,0.0512978,0
Dax,TBB,0.0480129,1
Dax,TBB,0.0501688,2
Dax,TBB,0.04857,3
Dax,TBB,0.0479695,4
Dax,TBB,0.0520617,5
Dax,TBB,0.0495538,6
Dax,TBB,0.0489824,7
Dax,TBB,0.0510906,8
Dax,TBB,0.0523544,9
Dax,TBB,0.0512498,10
Dax,TBB,0.0497621,11
Dax,TBB,0.0505345,12
Dax,TBB,0.0549157,13
Dax,TBB,0.0505797,14
Dax,TBB,0.0522749,15
Dax,TBB,0.0510358,16
Dax,TBB,0.0528217,17
Dax,TBB,0.0507879,18
Dax,TBB,0.049966,19
DaxResolution,Accelerator,Time,Trial
Dax,TBB,0.171689,0
Dax,TBB,0.176456,1
Dax,TBB,0.178975,2
Dax,TBB,0.178447,3
Dax,TBB,0.178951,4
Dax,TBB,0.170302,5
Dax,TBB,0.1758,6
Dax,TBB,0.175469,7
Dax,TBB,0.175359,8
Dax,TBB,0.175394,9
Dax,TBB,0.179946,10
Dax,TBB,0.173074,11
Dax,TBB,0.198158,12
Dax,TBB,0.174835,13
Dax,TBB,0.174244,14
Dax,TBB,0.175609,15
Dax,TBB,0.173491,16
Dax,TBB,0.177988,17
Dax,TBB,0.177441,18
Dax,TBB,0.175771,19
Piston,Accelerator,Time,Trial
Piston,TBB,0.10492,0
Piston,TBB,0.100724,1
Piston,TBB,0.0989787,2
Piston,TBB,0.117541,3
Piston,TBB,0.0997508,4
Piston,TBB,0.0994408,5
Piston,TBB,0.100245,6
Piston,TBB,0.101276,7
Piston,TBB,0.102299,8
Piston,TBB,0.100292,9
Piston,TBB,0.0990959,10
Piston,TBB,0.100893,11
Piston,TBB,0.103523,12
Piston,TBB,0.097151,13
Piston,TBB,0.0994657,14
Piston,TBB,0.101595,15
Piston,TBB,0.101079,16
Piston,TBB,0.102089,17
Piston,TBB,0.0981551,18
Piston,TBB,0.098209,19
